,country,name,symbol,issuer,isin,asset_class,currency,underlying
1770,india,Icici Prudential Long Term Bond Fund Bonus,0P0000YXF8,ICICI Prudential Asset Management Company Limited,INF109KA1335,bond,INR,
1771,india,Icici Prudential Long Term Bond Fund Institutional Quarterly Dividend Payout,0P00009N1H,ICICI Prudential Asset Management Company Limited,INF109K01EY1,bond,INR,
1772,india,Sbi Magnum Gilt Fund Regular Quarterly Dividend Payout,0P00005UR4,SBI Funds Management Private Limited,INF200K01990,bond,INR,
1773,india,Sbi Magnum Gilt Fund Pf Plan Fixed Period 2 Year Dividend Payout,0P00005UQY,SBI Funds Management Private Limited,INF200K01AF5,bond,INR,
1774,india,Sbi Magnum Gilt Fund Pf Plan Regular Dividend Payout,0P00005UR2,SBI Funds Management Private Limited,INF200K01AL3,bond,INR,
1775,india,Sbi Magnum Gilt Fund Pf Plan Fixed Period 3 Year Dividend Payout,0P00005UR0,SBI Funds Management Private Limited,INF200K01AI9,bond,INR,
1776,india,Sbi Magnum Gilt Fund Pf Plan Fixed Period 1 Year Growth,0P00005UQX,SBI Funds Management Private Limited,INF200K01AB4,bond,INR,
1777,india,Sbi Magnum Gilt Fund Pf Plan Fixed Period 2 Year Growth,0P00005UQZ,SBI Funds Management Private Limited,INF200K01AE8,bond,INR,
1778,india,Hdfc Gilt Fund Direct Plan Growth Option,0P0000XW7F,HDFC Asset Management Company Limited,INF179K01VS0,bond,INR,
1779,india,Hdfc Gilt Fund Direct Plan Dividend Payout Option,0P0000XW7E,HDFC Asset Management Company Limited,INF179K01VR2,bond,INR,
1780,india,Hdfc Gilt Fund Growth,0P00005WMK,HDFC Asset Management Company Limited,INF179K01756,bond,INR,
1781,india,Hdfc Gilt Fund Dividend Payout,0P00005WMJ,HDFC Asset Management Company Limited,INF179K01772,bond,INR,
1782,india,Icici Prudential Gilt Fund Direct Plan Bonus,0P00013Z3K,ICICI Prudential Asset Management Company Limited,INF109KA1H02,bond,INR,
1783,india,Icici Prudential Gilt Fund Direct Plan Dividend Payout,0P0000XUXU,ICICI Prudential Asset Management Company Limited,INF109K016C9,bond,INR,
1784,india,Icici Prudential Gilt Fund Direct Plan Growth,0P0000XUXV,ICICI Prudential Asset Management Company Limited,INF109K018C5,bond,INR,
1785,india,Nippon India Gilt Securities Fund Monthly Dividend Payout Plan,0P0000I4UO,Reliance Nippon Life Asset Management Ltd,INF204K01BV2,bond,INR,
1786,india,Nippon India Gilt Securities Fund Direct Plan Automatic Capital Appreciation Dividend Payout,0P0000XVDQ,Reliance Nippon Life Asset Management Ltd,INF204K01E70,bond,INR,
1787,india,Nippon India Gilt Securities Fund- Regular- Bonus Option,0P000152AP,Reliance Nippon Life Asset Management Ltd,INF204KA1YU4,bond,INR,
1788,india,Nippon India Gilt Securities Fund-institutional Plan-pf-automatic Capital Appreciation Payout,0P0000I4US,Reliance Nippon Life Asset Management Ltd,INF204K01CD8,bond,INR,
1789,india,Nippon India Gilt Securities Fund Institutional Plan Growth,LP62501370,Reliance Nippon Life Asset Management Ltd,INF204K01BX8,bond,INR,
1790,india,Nippon India Gilt Securities Fund - Direct Plan Growth Plan - Growth,0P0000XVDJ,Reliance Nippon Life Asset Management Ltd,INF204K01XP8,bond,INR,
1791,india,Sbi Magnum Gilt Fund Pf Plan Fixed Period 1 Year Dividend Payout,0P00005UQW,SBI Funds Management Private Limited,INF200K01AC2,bond,INR,
1792,india,Sbi Magnum Gilt Fund Pf Plan Fixed Period 3 Year Growth,LP62501528,SBI Funds Management Private Limited,INF200K01AH1,bond,INR,
1793,india,Sbi Magnum Gilt Fund Regular Growth,LP62500339,SBI Funds Management Private Limited,INF200K01982,bond,INR,
1794,india,Sbi Magnum Gilt Fund Pf Plan Regular Growth,LP62501529,SBI Funds Management Private Limited,INF200K01AK5,bond,INR,
1795,india,Uti Bond Fund Regular Plan Annual Dividend Payout Option,0P00015CJL,UTI Asset Management Company Ltd,INF789FA1T23,bond,INR,
1796,india,Uti Bond Fund-growth - Direct,0P0000XVSF,UTI Asset Management Company Ltd,INF789F01SQ6,bond,INR,
1797,india,Uti Bond Fund-income Direct Income Payout,0P0000XWBJ,UTI Asset Management Company Ltd,INF789F01SO1,bond,INR,
1798,india,Uti Bond Fund Regular Plan Flexi Dividend Payout Option,0P00015E17,UTI Asset Management Company Ltd,INF789FA1T49,bond,INR,
1799,india,Reliance Income Fund Half Yearly Dividend Payout,0P00005UPC,Reliance Nippon Life Asset Management Ltd,INF204K01CR8,bond,INR,
1800,india,Reliance Income Fund Monthly Dividend Payout,0P00005UPD,Reliance Nippon Life Asset Management Ltd,INF204K01CN7,bond,INR,
1801,india,Reliance Income Fund Quarterly Dividend Payout,0P00005UPE,Reliance Nippon Life Asset Management Ltd,INF204K01CP2,bond,INR,
1802,india,Reliance Income Fund - Bonus,0P00005UPA,Reliance Nippon Life Asset Management Ltd,INF204K01CM9,bond,INR,
1803,india,Reliance Income Fund Annual Dividend Payout,0P00005UP9,Reliance Nippon Life Asset Management Ltd,INF204K01CT4,bond,INR,
1804,india,Nippon India Gilt Securities Fund- Direct Plan- Growth Plan- Bonus Option,0P000153GC,Reliance Nippon Life Asset Management Ltd,INF204KA1YV2,bond,INR,
1805,india,Reliance Income Fund - Growth Plan,0P00005UPB,Reliance Nippon Life Asset Management Ltd,INF204K01CL1,bond,INR,
1806,india,Nippon India Income Fund - Direct Plan - Bonus Option,0P0000XW36,Reliance Nippon Life Asset Management Ltd,INF204K01F38,bond,INR,
1807,india,Nippon India Income Fund - Direct Plan - Growth Plan,0P0000XVDU,Reliance Nippon Life Asset Management Ltd,INF204K01XS2,bond,INR,
1808,india,Nippon India Income Fund Direct Plan Half Yearly Dividend Payout Plan,0P0000Y9MR,Reliance Nippon Life Asset Management Ltd,INF204K01YR2,bond,INR,
1809,india,Nippon India Income Fund Direct Plan Quarterly Dividend Payout Plan,0P0000XVE3,Reliance Nippon Life Asset Management Ltd,INF204K01YP6,bond,INR,
1810,india,Nippon India Income Fund Direct Plan Annual Dividend Payout Plan,0P0000XVDV,Reliance Nippon Life Asset Management Ltd,INF204K01YT8,bond,INR,
1811,india,Canara Robeco Income Fund Direct Plan Growth Option,0P0000XW0I,Canara Robeco Asset Management Co. Ltd.,INF760K01FI1,bond,INR,
1812,india,Tata Income Fund Direct Plan Growth,0P0000XVP0,Tata Asset Management Limited,INF277K01OY5,bond,INR,
1813,india,Sbi Magnum Gilt Fund Direct Dividend Payout,0P0000XVJZ,SBI Funds Management Private Limited,INF200K01SF7,bond,INR,
1814,india,Sbi Magnum Gilt Fund Direct Growth,0P0000XVK2,SBI Funds Management Private Limited,INF200K01SH3,bond,INR,
1815,india,Nippon India Income Fund Direct Plan Monthly Dividend Payout Plan,0P0000XVDR,Reliance Nippon Life Asset Management Ltd,INF204K01YN1,bond,INR,
1816,india,Kotak Dynamic Bond Weekly Dividend Payout,0P0000GBD2,Kotak Mahindra Asset Management Co Ltd,INF174K01FC8,bond,INR,
1817,india,Nippon India Gilt Securities Fund-p F Option -automatic Capital Appreciation Payout,0P0000I4UU,Reliance Nippon Life Asset Management Ltd,INF204K01CC0,bond,INR,
1818,india,Nippon India Gilt Securities Fund - Direct Plan Defined Maturity Date Option - Growth,0P0000Z6XJ,Reliance Nippon Life Asset Management Ltd,INF204K01E88,bond,INR,
1819,india,L&t Gilt Fund Growth,0P00005X3Z,L&T Investment Management Ltd,INF917K01BP1,bond,INR,
1820,india,L&t Gilt Fund Direct Plan Growth,0P0000XV75,L&T Investment Management Ltd,INF917K01FI7,bond,INR,
1821,india,Canara Robeco Gilt Fund Regular Plan Growth,0P00005V7I,Canara Robeco Asset Management Co. Ltd.,INF760K01AE1,bond,INR,
1822,india,Canara Robeco Gilt Fund Direct Plan Dividend Payout Option,0P0000XW0D,Canara Robeco Asset Management Co. Ltd.,INF760K01FA8,bond,INR,
1823,india,Canara Robeco Gilt Fund Direct Plan Growth Option,0P0000XW0E,Canara Robeco Asset Management Co. Ltd.,INF760K01FC4,bond,INR,
1824,india,Baroda Gilt Fund - Plan B (direct) - Growth Option,0P0000XVV4,Baroda Pioneer Asset Management Co. Ltd.,INF955L01AD7,bond,INR,
1825,india,Lic Mf Govt Securities Fund-direct Plan Growth Option,0P0000XV8Z,LIC Mutual Fund Asset Mgmt Co Ltd,INF767K01EZ3,bond,INR,
1826,india,Invesco India Gilt Fund Direct Plan Annual Dividend Payout,0P0000XVH3,Invesco Asset Management (India) Private Ltd,INF205K01SL4,bond,INR,
1827,india,Invesco India Gilt Fund - Direct Plan - Growth,0P0000XVGW,Invesco Asset Management (India) Private Ltd,INF205K01SN0,bond,INR,
1828,india,Invesco India Gilt Fund Direct Plan Monthly Dividend Reinvestment,0P0000XVH1,Invesco Asset Management (India) Private Ltd,INF205K01SO8,bond,INR,
1829,india,Indiabulls Gilt Fund - Direct Plan - Growth,0P0000XXD4,Indiabulls Asset Management Company Ltd.,INF666M01295,bond,INR,
1830,india,Indiabulls Gilt Fund - Indirect Plan - Growth Option,0P0000XXD8,Indiabulls Asset Management Company Ltd.,INF666M01378,bond,INR,
1831,india,Sbi Life - Bond Fund,0P0000NRF4,SBI Life Insurance Co Ltd,,bond,INR,
1832,india,Icici Prudential Life - Income Fund,0P0000NQX9,ICICI Prudential Life Insurance Co Ltd,,bond,INR,
1833,india,Hdfc Standard Life - Income Wealth Builder,0P0000NNF1,HDFC Standard Life Insurance Co. Ltd.,,bond,INR,
1834,india,Bajaj Allianz Life - Bond Fund,0P0000NQ9L,Bajaj Allianz Life Insurance Company Ltd,,bond,INR,
1835,india,Pnb Met Life - Protector Fund Ii,0P0000NPEC,PNB MetLife India Insurance Co. Ltd.,,bond,INR,
1836,india,India First Life - Debt Fund 1,0P0000V7DT,IndiaFirst Life Insurance Company Ltd.,,bond,INR,
1837,india,Icici Prudential Long Term Bond Fund Direct Plan Quarterly Dividend Payout,0P0000XUXY,ICICI Prudential Asset Management Company Limited,INF109K010M1,bond,INR,
1838,india,Tata Gilt Securities Fund Direct Plan Growth,0P0000XVOV,Tata Asset Management Limited,INF277K01OX7,bond,INR,
1839,india,Tata Gilt Securities Retirement Plan (280225) Growth,0P00005UW4,Tata Asset Management Limited,,bond,INR,
1840,india,Franklin India Government Securities Fund - Plan - Direct - Growth,0P0000XVQT,Franklin Templeton Asst Mgmt(IND)Pvt Ltd,INF090I01HS2,bond,INR,
1841,india,Aditya Birla Sun Life Government Securities Fund Regular Plan Growth,0P00005X2S,Aditya Birla Sun Life AMC Ltd,INF209K01AC3,bond,INR,
1842,india,Nippon India Gilt Securities Fund Direct Plan Dividend Payout Plan Monthly Dividend Payout Option,0P0000XVDO,Reliance Nippon Life Asset Management Ltd,INF204K01XQ6,bond,INR,
1843,india,Nippon India Gilt Securities Fund -p F Option -automatic Annual Dividend Payout,0P0000I4UR,Reliance Nippon Life Asset Management Ltd,INF204K01CA4,bond,INR,
1844,india,Nippon India Gilt Securities Fund Direct Plan Automatic Annual Dividend Reinvestment Option,0P0000XYEE,Reliance Nippon Life Asset Management Ltd,INF204K01E62,bond,INR,
1845,india,Nippon India Gilt Securities Fund -p F Option -defined Maturity Date,0P0000I4UV,Reliance Nippon Life Asset Management Ltd,INF204K01CB2,bond,INR,
1846,india,Icici Prudential Gilt Fund Growth,0P00005UML,ICICI Prudential Asset Management Company Limited,INF109K01JR4,bond,INR,
1847,india,Icici Prudential Gilt Fund Dividend Payout,0P00005UMK,ICICI Prudential Asset Management Company Limited,INF109K01JQ6,bond,INR,
1848,india,Uti Gilt Fund - Growth - Direct,0P0000XVSZ,UTI Asset Management Company Ltd,INF789F01TL5,bond,INR,
1849,india,Uti Gilt Fund Dividend Payout Direct,0P0000XXYB,UTI Asset Management Company Ltd,INF789F01TJ9,bond,INR,
1850,india,Uti Gilt Fund Pf Plan Growth,0P00005WKE,UTI Asset Management Company Ltd,INF789F01PT6,bond,INR,
1851,india,Nippon India Gilt Securities Fund -growth,LP62501372,Reliance Nippon Life Asset Management Ltd,INF204K01BU4,bond,INR,
1852,india,Uti Gilt Fund Pf Prescribed Date Auto Dividend Payout,LP62501459,UTI Asset Management Company Ltd,INF789F01PU4,bond,INR,
1853,india,Uti Gilt Fund Regular Plan Dividend Payout,LP62500741,UTI Asset Management Company Ltd,INF789F01646,bond,INR,
1854,india,Uti Gilt Fund Regular Plan Growth,LP62500742,UTI Asset Management Company Ltd,INF789F01661,bond,INR,
1855,india,Idfc Government Securities Fund - Investment Plan - Direct Plan - Growth,0P0000XV0J,IDFC Asset Management Company Limited,INF194K01Q29,bond,INR,
1856,india,Kotak Gilt-investment Provident Fund And Trust-growth - Direct,0P0000XYEB,Kotak Mahindra Asset Management Co Ltd,INF174K01KM7,bond,INR,
1857,india,Kotak Gilt-investment Regular-growth - Direct,0P0000XV67,Kotak Mahindra Asset Management Co Ltd,INF174K01KE4,bond,INR,
1858,india,Kotak Gilt Investment Fund Growth,0P00005WTT,Kotak Mahindra Asset Management Co Ltd,INF174K01FI5,bond,INR,
1859,india,Kotak Gilt Investment Fund Pf Plan & Trust Growth,0P00005WTZ,Kotak Mahindra Asset Management Co Ltd,INF174K01FL9,bond,INR,
1860,india,Aditya Birla Sun Life Government Securities Fund Growth Direct Plan,0P0000XVWT,Aditya Birla Sun Life AMC Ltd,INF209K01XP7,bond,INR,
1861,india,Franklin India Government Securities Fund Plan Growth,0P00005WJ2,Franklin Templeton Asst Mgmt(IND)Pvt Ltd,INF090I01CU9,bond,INR,
